"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER REPORT TAHSIL?","TAHSIL WEATHER REPORT-THIS WEEK WEATHER IS CLOUDY AND   LIGHT RAINFALL CHANCES DURING THIS WEEK","MAHARASHTRA","SOLAPUR","BARSHI                                            ","2018-10-01 06:10:39.607"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER REPORT TAHSIL?","TAHSIL WEATHER REPORT-THIS WEEK WEATHER IS CLOUDY AND   LIGHT RAINFALL CHANCES DURING THIS WEEK","MAHARASHTRA","SOLAPUR","BARSHI                                            ","2018-10-01 06:10:39.607"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week partially weather is CLOUDY and Possibility of LIGHT to MEDIUM Rainfall","MAHARASHTRA","SOLAPUR","BARSHI                                            ","2018-10-01 06:30:06.040"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week partially weather is CLOUDY and Possibility of LIGHT to MEDIUM Rainfall","MAHARASHTRA","SOLAPUR","BARSHI                                            ","2018-10-01 06:30:06.040"
"RABI","AGRICULTURE","Others","Others","Weather","Asking about weather  forecast ?","This week weather is CLOUDY and Possibility  light Rainfall","MAHARASHTRA","SOLAPUR","BARSHI                                            ","2018-10-01 07:50:32.293"
"RABI","AGRICULTURE","Others","Others","Weather","Asking about weather  forecast ?","This week weather is CLOUDY and Possibility  light Rainfall","MAHARASHTRA","SOLAPUR","BARSHI                                            ","2018-10-01 07:50:32.293"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","farmer asked about fertilizer dose for onion?","fertilizer dose for onion:- 10 : 26 : 26 1 bag / acre","MAHARASHTRA","SOLAPUR","BARSHI                                            ","2018-10-01 08:08:38.790"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","farmer asked about fertilizer dose for onion?","fertilizer dose for onion:- 10 : 26 : 26 1 bag / acre","MAHARASHTRA","SOLAPUR","BARSHI                                            ","2018-10-01 08:08:38.790"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather  forecast ?","This week weather is CLOUDY and Possibility  light Rainfall","MAHARASHTRA","SOLAPUR","BARSHI                                            ","2018-10-01 08:15:47.153"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather  forecast ?","This week weather is CLOUDY and Possibility  light Rainfall","MAHARASHTRA","SOLAPUR","BARSHI                                            ","2018-10-01 08:15:47.153"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is CLOUDY and   Possibility of Rainfall.","MAHARASHTRA","SOLAPUR","BARSHI                                            ","2018-10-01 08:54:15.963"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is CLOUDY and   Possibility of Rainfall.","MAHARASHTRA","SOLAPUR","BARSHI                                            ","2018-10-01 08:54:15.963"
"KHARIF","AGRICULTURE","Others","Others","Varieties","Asking about weather forecast?","This week partially weather is CLOUDY and Possibility of LIGHT Rainfall","MAHARASHTRA","SOLAPUR","MADHA                                             ","2018-10-01 09:05:05.613"
"KHARIF","AGRICULTURE","Others","Others","Varieties","Asking about weather forecast?","This week partially weather is CLOUDY and Possibility of LIGHT Rainfall","MAHARASHTRA","SOLAPUR","MADHA                                             ","2018-10-01 09:05:05.613"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-21 DEGREE AND MAX.- 34 NO RAINFALL CHANCES","MAHARASHTRA","SOLAPUR","AKKALKOT                                          ","2018-10-01 09:06:02.693"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-21 DEGREE AND MAX.- 34 NO RAINFALL CHANCES","MAHARASHTRA","SOLAPUR","AKKALKOT                                          ","2018-10-01 09:06:02.693"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ATTACK OF APHIDS ?","SPRAY KARATE 20 ML/15 LITERS OF WATER (Lambdacyhalothrin )","MAHARASHTRA","SOLAPUR","MADHA                                             ","2018-10-01 09:11:50.030"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ATTACK OF APHIDS ?","SPRAY KARATE 20 ML/15 LITERS OF WATER (Lambdacyhalothrin )","MAHARASHTRA","SOLAPUR","MADHA                                             ","2018-10-01 09:11:50.030"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is CLOUDY and   Possibility of Rainfall.","MAHARASHTRA","SOLAPUR","PANDHARPUR                                        ","2018-10-01 09:21:59.023"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is CLOUDY and   Possibility of Rainfall.","MAHARASHTRA","SOLAPUR","PANDHARPUR                                        ","2018-10-01 09:21:59.023"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week partially weather is CLOUDY and Possibility of LIGHT to MEDIUM Rainfall","MAHARASHTRA","SOLAPUR","AKKALKOT                                          ","2018-10-01 09:52:27.727"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week partially weather is CLOUDY and Possibility of LIGHT to MEDIUM Rainfall","MAHARASHTRA","SOLAPUR","AKKALKOT                                          ","2018-10-01 09:52:27.727"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","ASKED ABOUT BLIGHT ATTACK ON ONION ?","Spray Antracol 30 gm/15 Liter of Water (Propineb) BAYER CROP SCIENCE","MAHARASHTRA","SOLAPUR","MANGALVEDHE                                       ","2018-10-01 09:54:27.470"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","ASKED ABOUT BLIGHT ATTACK ON ONION ?","Spray Antracol 30 gm/15 Liter of Water (Propineb) BAYER CROP SCIENCE","MAHARASHTRA","SOLAPUR","MANGALVEDHE                                       ","2018-10-01 09:54:27.470"
"KHARIF","HORTICULTURE","Vegetables","Onion","Fertilizer Use and Availability","ASKED ABOUT FERTILIZER DOSE FOR GROWTH OF ONION?","FERTILIZER DOSE ON ONION- 15:15:15- 1 BAG / ACRE","MAHARASHTRA","SOLAPUR","BARSHI                                            ","2018-10-01 10:15:22.747"
"KHARIF","HORTICULTURE","Vegetables","Onion","Fertilizer Use and Availability","ASKED ABOUT FERTILIZER DOSE FOR GROWTH OF ONION?","FERTILIZER DOSE ON ONION- 15:15:15- 1 BAG / ACRE","MAHARASHTRA","SOLAPUR","BARSHI                                            ","2018-10-01 10:15:22.747"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is CLOUDY and   Possibility of Rainfall.","MAHARASHTRA","SOLAPUR","KARMALA                                           ","2018-10-01 11:09:30.713"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is CLOUDY and   Possibility of Rainfall.","MAHARASHTRA","SOLAPUR","KARMALA                                           ","2018-10-01 11:09:30.713"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is cloudy and possibility of light Rainfall.","MAHARASHTRA","SOLAPUR","BARSHI                                            ","2018-10-01 11:16:28.073"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is cloudy and possibility of light Rainfall.","MAHARASHTRA","SOLAPUR","BARSHI                                            ","2018-10-01 11:16:28.073"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ASKING ABOUT GOVERNMENT SCHEME ?","FOR DETAIL INFORMATION ABOUT GOVERNMENT SCHEME  PLEASE VISIT YOUR TALUKA AGRICULTURE OFFICER","MAHARASHTRA","SOLAPUR","MOHOL                                             ","2018-10-01 11:19:46.733"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ASKING ABOUT GOVERNMENT SCHEME ?","FOR DETAIL INFORMATION ABOUT GOVERNMENT SCHEME  PLEASE VISIT YOUR TALUKA AGRICULTURE OFFICER","MAHARASHTRA","SOLAPUR","MOHOL                                             ","2018-10-01 11:19:46.733"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast Tahsil ?","Tahsil Weather Report- This week weather is cloudy and Possibility  light Rainfall .","MAHARASHTRA","SOLAPUR","PANDHARPUR                                        ","2018-10-01 11:20:45.170"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast Tahsil ?","Tahsil Weather Report- This week weather is cloudy and Possibility  light Rainfall .","MAHARASHTRA","SOLAPUR","PANDHARPUR                                        ","2018-10-01 11:20:45.170"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is CLOUDY and   Possibility of Rainfall","MAHARASHTRA","SOLAPUR","PANDHARPUR                                        ","2018-10-01 11:27:51.560"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is CLOUDY and   Possibility of Rainfall","MAHARASHTRA","SOLAPUR","PANDHARPUR                                        ","2018-10-01 11:27:51.560"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","ASKED ABOUT ON MAIZE?","SPRAY NUVAN 20 ML / 15 LITERS OF WATER ( Dichlorvos 76% EC)","MAHARASHTRA","SOLAPUR","PANDHARPUR                                        ","2018-10-01 11:36:13.290"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","ASKED ABOUT ON MAIZE?","SPRAY NUVAN 20 ML / 15 LITERS OF WATER ( Dichlorvos 76% EC)","MAHARASHTRA","SOLAPUR","PANDHARPUR                                        ","2018-10-01 11:36:13.290"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast Tahsil ?","This week weather is cloudy and Possibility  light Rainfall .","MAHARASHTRA","SOLAPUR","PANDHARPUR                                        ","2018-10-01 11:36:43.430"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast Tahsil ?","This week weather is cloudy and Possibility  light Rainfall .","MAHARASHTRA","SOLAPUR","PANDHARPUR                                        ","2018-10-01 11:36:43.430"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","WEATHER REPORT- Partly cloudy skies. Rain or thundershowers likely in some areas towards evening.","MAHARASHTRA","SOLAPUR","BARSHI                                            ","2018-10-01 11:46:25.970"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","WEATHER REPORT- Partly cloudy skies. Rain or thundershowers likely in some areas towards evening.","MAHARASHTRA","SOLAPUR","BARSHI                                            ","2018-10-01 11:46:25.970"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-21 DEGREE AND MAX.- 34 LIGHT  RAINFALL CHANCES .","MAHARASHTRA","SOLAPUR","BARSHI                                            ","2018-10-01 11:53:01.600"
