"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week partially weather is CLOUDY and Possibility of LIGHT Rainfall","MAHARASHTRA","AHMADNAGAR","NAGAR                                             ","2018-10-01 07:24:57.170"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week partially weather is CLOUDY and Possibility of LIGHT Rainfall","MAHARASHTRA","AHMADNAGAR","NAGAR                                             ","2018-10-01 07:24:57.170"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week partially weather is CLOUDY and Possibility of LIGHT Rainfall","MAHARASHTRA","AHMADNAGAR","NAGAR                                             ","2018-10-01 07:52:09.217"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week partially weather is CLOUDY and Possibility of LIGHT Rainfall","MAHARASHTRA","AHMADNAGAR","NAGAR                                             ","2018-10-01 07:52:09.217"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER REPORT TAHSIL?","TAHSIL WEATHER REPORT-THIS WEEK WEATHER IS CLOUDY AND   LIGHT RAINFALL CHANCES DURING THIS WEEK","MAHARASHTRA","AHMADNAGAR","NAGAR                                             ","2018-10-01 08:35:17.843"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER REPORT TAHSIL?","TAHSIL WEATHER REPORT-THIS WEEK WEATHER IS CLOUDY AND   LIGHT RAINFALL CHANCES DURING THIS WEEK","MAHARASHTRA","AHMADNAGAR","NAGAR                                             ","2018-10-01 08:35:17.843"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week partially weather is CLOUDY and Possibility of LIGHT to MEDIUM Rainfall","MAHARASHTRA","AHMADNAGAR","SANGAMNER                                         ","2018-10-01 08:53:00.490"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week partially weather is CLOUDY and Possibility of LIGHT to MEDIUM Rainfall","MAHARASHTRA","AHMADNAGAR","SANGAMNER                                         ","2018-10-01 08:53:00.490"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","Today weather is CLOUDY and Possibility of light Rainfall","MAHARASHTRA","AHMADNAGAR","NAGAR                                             ","2018-10-01 09:04:37.580"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","Today weather is CLOUDY and Possibility of light Rainfall","MAHARASHTRA","AHMADNAGAR","NAGAR                                             ","2018-10-01 09:04:37.580"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather  forecast ?","This week weather is CLOUDY and Possibility  light Rainfall","MAHARASHTRA","AHMADNAGAR","JAMKHED                                           ","2018-10-01 09:19:25.893"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather  forecast ?","This week weather is CLOUDY and Possibility  light Rainfall","MAHARASHTRA","AHMADNAGAR","JAMKHED                                           ","2018-10-01 09:19:25.893"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","This week weather is cloudy and Possibility of light Rainfall.","MAHARASHTRA","AHMADNAGAR","SANGAMNER                                         ","2018-10-01 10:14:59.003"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","This week weather is cloudy and Possibility of light Rainfall.","MAHARASHTRA","AHMADNAGAR","SANGAMNER                                         ","2018-10-01 10:14:59.003"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","This week weather is cloudy and Possibility of light to medium Rainfall.","MAHARASHTRA","AHMADNAGAR","NEVASA                                            ","2018-10-01 10:25:01.743"
