"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week partially weather is CLOUDY and Possibility of LIGHT Rainfall","MAHARASHTRA","NASIK","NANDGAON                                          ","2018-10-01 07:55:36.947"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week partially weather is CLOUDY and Possibility of LIGHT Rainfall","MAHARASHTRA","NASIK","NANDGAON                                          ","2018-10-01 07:55:36.947"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week partially weather is CLOUDY and Possibility of LIGHT Rainfall","MAHARASHTRA","NASIK","MALEGAON                                          ","2018-10-01 08:06:48.530"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week partially weather is CLOUDY and Possibility of LIGHT Rainfall","MAHARASHTRA","NASIK","MALEGAON                                          ","2018-10-01 08:06:48.530"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","This week weather is cloudy and Possibility of light Rainfall.","MAHARASHTRA","NASIK","MALEGAON                                          ","2018-10-01 09:10:43.137"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","This week weather is cloudy and Possibility of light Rainfall.","MAHARASHTRA","NASIK","MALEGAON                                          ","2018-10-01 09:10:43.137"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is cloudy,possiblity of light to medium rainfall.","MAHARASHTRA","NASIK","MALEGAON                                          ","2018-10-01 09:23:40.440"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is cloudy,possiblity of light to medium rainfall.","MAHARASHTRA","NASIK","MALEGAON                                          ","2018-10-01 09:23:40.440"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","This week weather is cloudy and Possibility of light Rainfall.","MAHARASHTRA","NASIK","DINDORI                                           ","2018-10-01 09:27:45.377"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","This week weather is cloudy and Possibility of light Rainfall.","MAHARASHTRA","NASIK","DINDORI                                           ","2018-10-01 09:27:45.377"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER REPORT TAHSIL?","TAHSIL WEATHER REPORT-THIS WEEK WEATHER IS CLOUDY AND   LIGHT RAINFALL CHANCES DURING THIS WEEK","MAHARASHTRA","NASIK","YEOLA","2018-10-01 09:33:13.820"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER REPORT TAHSIL?","TAHSIL WEATHER REPORT-THIS WEEK WEATHER IS CLOUDY AND   LIGHT RAINFALL CHANCES DURING THIS WEEK","MAHARASHTRA","NASIK","YEOLA","2018-10-01 09:33:13.820"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather  forecast ?","This week weather is CLOUDY and Possibility  light Rainfall","MAHARASHTRA","NASIK","MALEGAON                                          ","2018-10-01 09:35:36.450"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather  forecast ?","This week weather is CLOUDY and Possibility  light Rainfall","MAHARASHTRA","NASIK","MALEGAON                                          ","2018-10-01 09:35:36.450"
"KHARIF","AGRICULTURE","Pulses","Moth Bean (kidney bean/ deww gram)","Varieties","VARIETIES OF BENGAL GRAM ?","VARIETIES OF BENGAL GRAM - VIJAY ,DIGVIJAY, VISHAL, VIKAS, JAKI-9218, PHULE G-12","MAHARASHTRA","NASIK","NIPHAD                                            ","2018-10-01 09:55:23.477"
"KHARIF","AGRICULTURE","Pulses","Moth Bean (kidney bean/ deww gram)","Varieties","VARIETIES OF BENGAL GRAM ?","VARIETIES OF BENGAL GRAM - VIJAY ,DIGVIJAY, VISHAL, VIKAS, JAKI-9218, PHULE G-12","MAHARASHTRA","NASIK","NIPHAD                                            ","2018-10-01 09:55:23.477"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week partially weather is CLOUDY and Possibility of LIGHT Rainfall","MAHARASHTRA","NASIK","PETH","2018-10-01 09:55:40.463"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week partially weather is CLOUDY and Possibility of LIGHT Rainfall","MAHARASHTRA","NASIK","PETH","2018-10-01 09:55:40.463"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is CLOUDY and   Possibility of Rainfall.","MAHARASHTRA","NASIK","CHANDWAD","2018-10-01 10:33:58.980"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is CLOUDY and   Possibility of Rainfall.","MAHARASHTRA","NASIK","CHANDWAD","2018-10-01 10:33:58.980"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","Weather Forecast - In the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain.","MAHARASHTRA","NASIK","NIPHAD                                            ","2018-10-01 10:43:50.673"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","Weather Forecast - In the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain.","MAHARASHTRA","NASIK","NIPHAD                                            ","2018-10-01 10:43:50.673"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","ATTACK OF SUCKING PEST ?","SPRAY KARATE 20 ML/15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA","MAHARASHTRA","NASIK","NIPHAD                                            ","2018-10-01 10:46:17.313"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","ATTACK OF SUCKING PEST ?","SPRAY KARATE 20 ML/15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA","MAHARASHTRA","NASIK","NIPHAD                                            ","2018-10-01 10:46:17.313"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","atack of aphids on onion?","SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL","MAHARASHTRA","NASIK","NIPHAD                                            ","2018-10-01 10:48:36.607"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","atack of aphids on onion?","SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL","MAHARASHTRA","NASIK","NIPHAD                                            ","2018-10-01 10:48:36.607"
