"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?
This week weather is CLOUDY and  Possibility of   LIGHT To MEDIUM Rainfall","Asking about weather forecast?
This week weather is CLOUDY and  Possibility of   LIGHT To MEDIUM Rainfall 

  
Answer By Kcc(In English Language)*","MAHARASHTRA","BULDANA","MOTALA                                            ","2018-10-01 15:32:34.170"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?
This week weather is CLOUDY and  Possibility of   LIGHT To MEDIUM Rainfall","Asking about weather forecast?
This week weather is CLOUDY and  Possibility of   LIGHT To MEDIUM Rainfall 

  
Answer By Kcc(In English Language)*","MAHARASHTRA","BULDANA","MOTALA                                            ","2018-10-01 15:32:34.170"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","SEED TREATMENT FOR BENGAL GRAM ?","SEED TREATMENT FOR BENGAL GRAM ?

SEEDS ARE TREATED WITH 2-2.5 GM THIRUM /1 KG OF SEEDS THEN RHIZOBIUM 25 GM+ PSB 25 GM + 100 GM JAGERY / 1 KG OF SEEDS","MAHARASHTRA","BULDANA","LONAR                                             ","2018-10-01 15:40:36.167"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","SEED TREATMENT FOR BENGAL GRAM ?","SEED TREATMENT FOR BENGAL GRAM ?

SEEDS ARE TREATED WITH 2-2.5 GM THIRUM /1 KG OF SEEDS THEN RHIZOBIUM 25 GM+ PSB 25 GM + 100 GM JAGERY / 1 KG OF SEEDS","MAHARASHTRA","BULDANA","LONAR                                             ","2018-10-01 15:40:36.167"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week partially weather is CLOUDY and Possibility of LIGHT Rainfall","MAHARASHTRA","BULDANA","CHIKHLI                                           ","2018-10-01 15:45:20.447"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week partially weather is CLOUDY and Possibility of LIGHT Rainfall","MAHARASHTRA","BULDANA","CHIKHLI                                           ","2018-10-01 15:45:20.447"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","This week weather is cloudy and Possibility of light Rainfall.","MAHARASHTRA","BULDANA","MEHKAR                                            ","2018-10-01 15:51:53.333"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","This week weather is cloudy and Possibility of light Rainfall.","MAHARASHTRA","BULDANA","MEHKAR                                            ","2018-10-01 15:51:53.333"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week partially weather is cloudy and Possibility of light Rainfall","MAHARASHTRA","BULDANA","KHAMGAON                                          ","2018-10-01 16:06:49.107"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week partially weather is cloudy and Possibility of light Rainfall","MAHARASHTRA","BULDANA","KHAMGAON                                          ","2018-10-01 16:06:49.107"
